"numsteps":12
"T":1.0 
"numlanes":3 
"vd":28.75005
"C":3.6
"a(0)":0.00340
"safety":1.34584
"planTime":131.50000
"id":40
"x(0)":2365.92647
"y(0)":2
"v(0)":28.73887
"obst_x(0,0)":2561.27735
"obst_y(0,0)":2
"obst_v(0,0)":24.60403
"obst_id(0,0)":34
"obst_connected(0,0)":1
"obst_vd(0,0)":28.48974
"obst_planTime(0,0)":126.250000
"obst_y(0,0)":2
"obst_ax(0,0)":-0.06010
"obst_y(0,1)":2
"obst_ax(0,1)":0.53120
"obst_y(0,2)":2
"obst_ax(0,2)":0.90230
"obst_y(0,3)":2
"obst_ax(0,3)":1.09720
"obst_y(0,4)":2
"obst_ax(0,4)":1.15210
"obst_y(0,5)":2
"obst_ax(0,5)":1.09660
"obst_y(0,6)":2
"obst_ax(0,6)":0.95480
"obst_y(0,7)":2
"obst_ax(0,7)":0.74590
"obst_y(0,8)":2
"obst_ax(0,8)":0.48520
"obst_y(0,9)":2
"obst_ax(0,9)":0.18430
"obst_y(0,10)":2
"obst_ax(0,10)":-0.14790
"obst_y(0,11)":2
"obst_ax(0,11)":-0.50500
"obst_y(0,12)":2
"obst_ax(0,12)":-0.88310
"obst_y(0,13)":2
"obst_ax(0,13)":-1.28020
"obst_y(0,14)":2
"obst_ax(0,14)":-1.69580
"obst_y(0,15)":2
"obst_ax(0,15)":-2.12960
"obst_y(0,16)":2
"obst_ax(0,16)":-2.58030
"obst_y(0,17)":2
"obst_ax(0,17)":-3.04500
"obst_y(0,18)":2
"obst_ax(0,18)":-3.51830
"obst_y(0,19)":2
"obst_ax(0,19)":-3.99240
"obst_y(0,20)":2
"obst_ax(0,20)":-4.45760
"obst_y(0,21)":2
"obst_ax(0,21)":-4.90180
"obst_y(0,22)":2
"obst_ax(0,22)":-5.31110
"obst_y(0,23)":2
"obst_ax(0,23)":-5.67040
"obst_y(0,24)":2
"obst_ax(0,24)":-5.96400
"obst_y(0,25)":2
"obst_ax(0,25)":-6.17770
"obst_y(0,26)":2
"obst_ax(0,26)":-6.29880
"obst_y(0,27)":2
"obst_ax(0,27)":-6.31830
"obst_y(0,28)":2
"obst_ax(0,28)":-6.23240
"obst_y(0,29)":2
"obst_ax(0,29)":-6.04460
"obst_y(0,30)":2
"obst_ax(0,30)":-5.76680
"obst_y(0,31)":2
"obst_ax(0,31)":-5.41300
"obst_y(0,32)":2
"obst_ax(0,32)":-4.99560
"obst_y(0,33)":2
"obst_ax(0,33)":-4.52470
"obst_y(0,34)":2
"obst_ax(0,34)":-4.00830
"obst_y(0,35)":2
"obst_ax(0,35)":-3.45440
"obst_y(0,36)":2
"obst_ax(0,36)":-2.86890
"obst_y(0,37)":2
"obst_ax(0,37)":-2.26090
"obst_y(0,38)":2
"obst_ax(0,38)":-1.65040
"obst_y(0,39)":2
"obst_ax(0,39)":-1.07640
"obst_y(0,40)":2
"obst_ax(0,40)":-0.60040
"obst_y(0,41)":2
"obst_ax(0,41)":-0.24410
"obst_y(0,42)":2
"obst_ax(0,42)":0.01450
"obst_y(0,43)":2
"obst_ax(0,43)":0.19460
"obst_y(0,44)":2
"obst_ax(0,44)":0.31310
"obst_y(0,45)":2
"obst_ax(0,45)":0.38510
"obst_y(0,46)":2
"obst_ax(0,46)":0.42330
"obst_y(0,47)":2
"obst_ax(0,47)":0.43850
"obst_x(1,0)":2495.47405
"obst_y(1,0)":2
"obst_v(1,0)":29.56241
"obst_id(1,0)":37
"obst_connected(1,0)":1
"obst_vd(1,0)":30.30776
"obst_planTime(1,0)":122.750000
"obst_y(1,0)":2
"obst_ax(1,0)":0.02170
"obst_y(1,1)":2
"obst_ax(1,1)":0.01280
"obst_y(1,2)":2
"obst_ax(1,2)":0.00490
"obst_y(1,3)":2
"obst_ax(1,3)":-0.00220
"obst_y(1,4)":2
"obst_ax(1,4)":-0.00850
"obst_y(1,5)":2
"obst_ax(1,5)":-0.01410
"obst_y(1,6)":2
"obst_ax(1,6)":-0.01900
"obst_y(1,7)":2
"obst_ax(1,7)":-0.02320
"obst_y(1,8)":2
"obst_ax(1,8)":-0.02680
"obst_y(1,9)":2
"obst_ax(1,9)":-0.02980
"obst_y(1,10)":2
"obst_ax(1,10)":-0.03230
"obst_y(1,11)":2
"obst_ax(1,11)":-0.03440
"obst_y(1,12)":2
"obst_ax(1,12)":-0.03600
"obst_y(1,13)":2
"obst_ax(1,13)":-0.03720
"obst_y(1,14)":2
"obst_ax(1,14)":-0.03800
"obst_y(1,15)":2
"obst_ax(1,15)":-0.03840
"obst_y(1,16)":2
"obst_ax(1,16)":-0.03860
"obst_y(1,17)":2
"obst_ax(1,17)":-0.03850
"obst_y(1,18)":2
"obst_ax(1,18)":-0.03810
"obst_y(1,19)":2
"obst_ax(1,19)":-0.03750
"obst_y(1,20)":2
"obst_ax(1,20)":-0.03670
"obst_y(1,21)":2
"obst_ax(1,21)":-0.03580
"obst_y(1,22)":2
"obst_ax(1,22)":-0.03470
"obst_y(1,23)":2
"obst_ax(1,23)":-0.03340
"obst_y(1,24)":2
"obst_ax(1,24)":-0.03210
"obst_y(1,25)":2
"obst_ax(1,25)":-0.03070
"obst_y(1,26)":2
"obst_ax(1,26)":-0.02920
"obst_y(1,27)":2
"obst_ax(1,27)":-0.02770
"obst_y(1,28)":2
"obst_ax(1,28)":-0.02620
"obst_y(1,29)":2
"obst_ax(1,29)":-0.02460
"obst_y(1,30)":2
"obst_ax(1,30)":-0.02310
"obst_y(1,31)":2
"obst_ax(1,31)":-0.02150
"obst_y(1,32)":2
"obst_ax(1,32)":-0.02000
"obst_y(1,33)":2
"obst_ax(1,33)":-0.01860
"obst_y(1,34)":2
"obst_ax(1,34)":-0.01720
"obst_y(1,35)":2
"obst_ax(1,35)":-0.01580
"obst_y(1,36)":2
"obst_ax(1,36)":-0.01450
"obst_y(1,37)":2
"obst_ax(1,37)":-0.01340
"obst_y(1,38)":2
"obst_ax(1,38)":-0.01230
"obst_y(1,39)":2
"obst_ax(1,39)":-0.01130
"obst_y(1,40)":2
"obst_ax(1,40)":-0.01040
"obst_y(1,41)":2
"obst_ax(1,41)":-0.00960
"obst_y(1,42)":2
"obst_ax(1,42)":-0.00890
"obst_y(1,43)":2
"obst_ax(1,43)":-0.00830
"obst_y(1,44)":2
"obst_ax(1,44)":-0.00790
"obst_y(1,45)":2
"obst_ax(1,45)":-0.00760
"obst_y(1,46)":2
"obst_ax(1,46)":-0.00730
"obst_y(1,47)":2
"obst_ax(1,47)":-0.00720
"obst_x(2,0)":2242.44946
"obst_y(2,0)":2
"obst_v(2,0)":27.81955
"obst_id(2,0)":43
"obst_connected(2,0)":1
"obst_vd(2,0)":27.82979
"obst_planTime(2,0)":122.500000
"obst_y(2,0)":2
"obst_ax(2,0)":0.00420
"obst_y(2,1)":2
"obst_ax(2,1)":0.00420
"obst_y(2,2)":2
"obst_ax(2,2)":0.00410
"obst_y(2,3)":2
"obst_ax(2,3)":0.00400
"obst_y(2,4)":2
"obst_ax(2,4)":0.00400
"obst_y(2,5)":2
"obst_ax(2,5)":0.00390
"obst_y(2,6)":2
"obst_ax(2,6)":0.00390
"obst_y(2,7)":2
"obst_ax(2,7)":0.00380
"obst_y(2,8)":2
"obst_ax(2,8)":0.00370
"obst_y(2,9)":2
"obst_ax(2,9)":0.00370
"obst_y(2,10)":2
"obst_ax(2,10)":0.00360
"obst_y(2,11)":2
"obst_ax(2,11)":0.00350
"obst_y(2,12)":2
"obst_ax(2,12)":0.00350
"obst_y(2,13)":2
"obst_ax(2,13)":0.00340
"obst_y(2,14)":2
"obst_ax(2,14)":0.00330
"obst_y(2,15)":2
"obst_ax(2,15)":0.00320
"obst_y(2,16)":2
"obst_ax(2,16)":0.00320
"obst_y(2,17)":2
"obst_ax(2,17)":0.00310
"obst_y(2,18)":2
"obst_ax(2,18)":0.00300
"obst_y(2,19)":2
"obst_ax(2,19)":0.00300
"obst_y(2,20)":2
"obst_ax(2,20)":0.00290
"obst_y(2,21)":2
"obst_ax(2,21)":0.00280
"obst_y(2,22)":2
"obst_ax(2,22)":0.00280
"obst_y(2,23)":2
"obst_ax(2,23)":0.00270
"obst_y(2,24)":2
"obst_ax(2,24)":0.00260
"obst_y(2,25)":2
"obst_ax(2,25)":0.00260
"obst_y(2,26)":2
"obst_ax(2,26)":0.00250
